Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
7129	college degree	male	Mexico	seek better job	construction worker	3-5 years	contract with employer	six months with family	broken English
7130	two-year college	male	Somalia	seek better job	financial analyst	5+ years	interviews with employer	once w/o authorization	broken English
7131	8th grade	male	Somalia	reunite with family	teacher	1-2 years	no plans to look for work	never	fluent English
7132	4th grade	male	Sudan	seek better job	janitor	1-2 years	contract with employer	never	broken English
7133	graduate degree	female	India	seek better job	gardener	5+ years	interviews with employer	many times as tourist	fluent English
7134	two-year college	female	Iraq	escape persecution	financial analyst	none	no plans to look for work	once w/o authorization	used interpreter
7135	8th grade	female	India	reunite with family	construction worker	none	interviews with employer	once w/o authorization	tried English but unable
7136	no formal	male	India	reunite with family	construction worker	3-5 years	contract with employer	never	used interpreter
7137	two-year college	female	India	seek better job	financial analyst	1-2 years	will look for work	six months with family	tried English but unable
7138	no formal	female	Iraq	reunite with family	waiter	1-2 years	will look for work	once as tourist	used interpreter
7139	graduate degree	male	China	escape persecution	nurse	none	no plans to look for work	once w/o authorization	broken English
7140	graduate degree	female	Mexico	reunite with family	computer programmer	1-2 years	interviews with employer	once as tourist	tried English but unable
7141	college degree	male	Somalia	reunite with family	waiter	1-2 years	no plans to look for work	six months with family	fluent English
7142	high school	female	Somalia	seek better job	nurse	5+ years	interviews with employer	never	used interpreter
7143	college degree	female	Iraq	reunite with family	computer programmer	1-2 years	will look for work	many times as tourist	tried English but unable
7144	college degree	male	Sudan	escape persecution	computer programmer	5+ years	interviews with employer	six months with family	fluent English
7145	college degree	female	China	escape persecution	nurse	1-2 years	no plans to look for work	once w/o authorization	broken English
7146	college degree	female	India	seek better job	nurse	3-5 years	will look for work	once as tourist	broken English
7147	graduate degree	male	Philippines	reunite with family	doctor	none	no plans to look for work	many times as tourist	broken English
7148	8th grade	female	Mexico	reunite with family	janitor	1-2 years	no plans to look for work	many times as tourist	fluent English
7149	high school	male	India	seek better job	waiter	5+ years	no plans to look for work	never	broken English
7150	high school	female	Iraq	seek better job	nurse	1-2 years	no plans to look for work	many times as tourist	broken English
7151	4th grade	female	Philippines	seek better job	child care provider	5+ years	will look for work	never	tried English but unable
7152	no formal	female	Philippines	reunite with family	waiter	1-2 years	interviews with employer	once w/o authorization	broken English
7153	8th grade	male	China	escape persecution	child care provider	3-5 years	will look for work	once w/o authorization	broken English
7154	two-year college	male	France	reunite with family	gardener	5+ years	interviews with employer	many times as tourist	tried English but unable
7155	high school	male	Germany	seek better job	gardener	3-5 years	contract with employer	six months with family	used interpreter
7156	two-year college	male	Philippines	seek better job	nurse	3-5 years	contract with employer	many times as tourist	broken English
7157	two-year college	female	Iraq	seek better job	construction worker	1-2 years	contract with employer	never	tried English but unable
7158	college degree	male	Philippines	reunite with family	research scientist	5+ years	no plans to look for work	once w/o authorization	fluent English
7159	no formal	male	Somalia	reunite with family	gardener	1-2 years	contract with employer	six months with family	fluent English
7160	college degree	male	Philippines	reunite with family	construction worker	1-2 years	contract with employer	once w/o authorization	fluent English
7161	8th grade	female	France	reunite with family	gardener	3-5 years	will look for work	once as tourist	used interpreter
7162	8th grade	female	India	seek better job	gardener	5+ years	contract with employer	never	used interpreter
7163	high school	female	Philippines	seek better job	child care provider	5+ years	interviews with employer	never	tried English but unable
7164	8th grade	female	Philippines	reunite with family	janitor	5+ years	no plans to look for work	once w/o authorization	fluent English
7165	college degree	female	Mexico	reunite with family	gardener	5+ years	will look for work	many times as tourist	tried English but unable
7166	college degree	female	Iraq	seek better job	research scientist	1-2 years	interviews with employer	once as tourist	fluent English
7167	graduate degree	female	Iraq	seek better job	research scientist	5+ years	no plans to look for work	once as tourist	used interpreter
7168	two-year college	female	Philippines	reunite with family	construction worker	1-2 years	will look for work	never	fluent English
7169	4th grade	female	Mexico	reunite with family	nurse	none	contract with employer	six months with family	tried English but unable
7170	high school	female	Philippines	seek better job	nurse	3-5 years	contract with employer	six months with family	fluent English
7171	college degree	female	Philippines	seek better job	financial analyst	1-2 years	contract with employer	once w/o authorization	fluent English
7172	8th grade	female	Poland	seek better job	construction worker	5+ years	contract with employer	once as tourist	tried English but unable
7173	two-year college	male	Somalia	reunite with family	janitor	5+ years	no plans to look for work	once as tourist	broken English
7174	8th grade	female	China	escape persecution	child care provider	none	contract with employer	once as tourist	fluent English
7175	graduate degree	male	China	seek better job	teacher	none	no plans to look for work	never	fluent English
7176	two-year college	female	Sudan	escape persecution	nurse	3-5 years	contract with employer	once w/o authorization	broken English
7177	8th grade	male	Mexico	reunite with family	construction worker	1-2 years	no plans to look for work	many times as tourist	broken English
7178	college degree	male	Somalia	escape persecution	teacher	none	interviews with employer	six months with family	used interpreter
7179	no formal	male	Poland	seek better job	construction worker	1-2 years	no plans to look for work	many times as tourist	fluent English
7180	graduate degree	male	China	reunite with family	doctor	none	contract with employer	once w/o authorization	fluent English
7181	high school	male	India	seek better job	gardener	none	will look for work	six months with family	used interpreter
7182	4th grade	male	Sudan	escape persecution	waiter	none	no plans to look for work	many times as tourist	used interpreter
7183	high school	male	Iraq	reunite with family	teacher	none	contract with employer	six months with family	tried English but unable
7184	no formal	female	India	reunite with family	nurse	none	contract with employer	many times as tourist	broken English
7185	no formal	male	Mexico	seek better job	child care provider	1-2 years	no plans to look for work	many times as tourist	broken English
7186	two-year college	female	France	seek better job	doctor	none	interviews with employer	once w/o authorization	fluent English
7187	two-year college	female	Philippines	seek better job	financial analyst	3-5 years	contract with employer	many times as tourist	tried English but unable
7188	4th grade	male	France	reunite with family	gardener	1-2 years	no plans to look for work	never	broken English
7189	high school	male	Philippines	reunite with family	child care provider	5+ years	no plans to look for work	once w/o authorization	tried English but unable
7190	two-year college	male	Iraq	escape persecution	nurse	5+ years	no plans to look for work	once w/o authorization	tried English but unable
7191	4th grade	female	Mexico	seek better job	gardener	1-2 years	no plans to look for work	once as tourist	fluent English
7192	8th grade	female	Germany	seek better job	nurse	1-2 years	will look for work	once w/o authorization	broken English
7193	4th grade	female	Sudan	reunite with family	janitor	5+ years	contract with employer	once w/o authorization	tried English but unable
7194	high school	male	China	reunite with family	waiter	1-2 years	interviews with employer	never	tried English but unable
7195	no formal	female	Poland	reunite with family	construction worker	5+ years	interviews with employer	six months with family	fluent English
7196	4th grade	male	Philippines	reunite with family	construction worker	3-5 years	contract with employer	never	fluent English
7197	high school	female	Philippines	seek better job	gardener	5+ years	no plans to look for work	never	tried English but unable
7198	college degree	female	Mexico	reunite with family	financial analyst	1-2 years	contract with employer	once w/o authorization	used interpreter
7199	8th grade	male	India	seek better job	nurse	1-2 years	will look for work	six months with family	tried English but unable
7200	two-year college	female	France	reunite with family	research scientist	5+ years	interviews with employer	never	tried English but unable
7201	8th grade	female	France	seek better job	janitor	5+ years	will look for work	once w/o authorization	broken English
7202	8th grade	female	Mexico	reunite with family	janitor	5+ years	interviews with employer	many times as tourist	used interpreter
7203	graduate degree	male	Germany	reunite with family	doctor	3-5 years	no plans to look for work	six months with family	fluent English
7204	two-year college	female	China	seek better job	doctor	none	interviews with employer	six months with family	tried English but unable
7205	graduate degree	female	Mexico	seek better job	nurse	none	contract with employer	once as tourist	used interpreter
7206	8th grade	male	China	escape persecution	janitor	3-5 years	contract with employer	once as tourist	fluent English
7207	two-year college	male	Mexico	seek better job	doctor	3-5 years	will look for work	many times as tourist	used interpreter
7208	graduate degree	male	Philippines	seek better job	gardener	5+ years	contract with employer	many times as tourist	fluent English
7209	4th grade	male	Mexico	reunite with family	waiter	none	will look for work	once w/o authorization	fluent English
7210	high school	male	India	seek better job	teacher	3-5 years	contract with employer	once w/o authorization	broken English
7211	graduate degree	female	India	reunite with family	waiter	1-2 years	will look for work	once as tourist	fluent English
7212	high school	male	India	seek better job	waiter	3-5 years	will look for work	once as tourist	tried English but unable
7213	college degree	male	Philippines	seek better job	janitor	5+ years	no plans to look for work	once as tourist	broken English
7214	8th grade	female	India	seek better job	gardener	5+ years	will look for work	never	used interpreter
7215	8th grade	male	China	reunite with family	child care provider	5+ years	interviews with employer	once as tourist	broken English
7216	no formal	female	Mexico	seek better job	child care provider	5+ years	interviews with employer	never	tried English but unable
7217	no formal	female	Poland	reunite with family	waiter	1-2 years	interviews with employer	many times as tourist	tried English but unable
7218	two-year college	female	Mexico	reunite with family	child care provider	none	interviews with employer	once as tourist	used interpreter
7219	two-year college	female	Sudan	seek better job	nurse	1-2 years	interviews with employer	once w/o authorization	fluent English
7220	graduate degree	female	Iraq	reunite with family	doctor	5+ years	no plans to look for work	never	used interpreter
7221	college degree	female	Germany	reunite with family	gardener	3-5 years	no plans to look for work	many times as tourist	broken English
7222	college degree	female	Mexico	reunite with family	computer programmer	5+ years	no plans to look for work	once w/o authorization	fluent English
7223	no formal	female	China	seek better job	construction worker	5+ years	no plans to look for work	never	broken English
7224	4th grade	male	China	escape persecution	gardener	5+ years	no plans to look for work	once w/o authorization	used interpreter
7225	no formal	male	Sudan	seek better job	construction worker	none	interviews with employer	once as tourist	fluent English
7226	graduate degree	male	Sudan	escape persecution	financial analyst	3-5 years	contract with employer	never	tried English but unable
7227	8th grade	male	Iraq	seek better job	gardener	none	no plans to look for work	once as tourist	fluent English
7228	high school	male	Sudan	reunite with family	child care provider	5+ years	no plans to look for work	many times as tourist	fluent English
7229	4th grade	male	Germany	seek better job	nurse	3-5 years	interviews with employer	once w/o authorization	fluent English
7230	4th grade	male	Somalia	escape persecution	construction worker	none	contract with employer	many times as tourist	fluent English
7231	high school	female	Germany	seek better job	nurse	none	no plans to look for work	once w/o authorization	tried English but unable
7232	two-year college	male	China	reunite with family	construction worker	3-5 years	contract with employer	once w/o authorization	tried English but unable
7233	high school	male	Philippines	reunite with family	teacher	none	no plans to look for work	once w/o authorization	fluent English
7234	4th grade	male	Mexico	seek better job	janitor	1-2 years	interviews with employer	never	tried English but unable
7235	no formal	female	Poland	seek better job	construction worker	1-2 years	will look for work	once as tourist	tried English but unable
7236	college degree	male	Germany	reunite with family	research scientist	5+ years	contract with employer	many times as tourist	tried English but unable
7237	no formal	female	Sudan	seek better job	nurse	none	contract with employer	never	fluent English
7238	two-year college	female	Sudan	escape persecution	child care provider	3-5 years	no plans to look for work	many times as tourist	fluent English
7239	graduate degree	male	France	reunite with family	teacher	1-2 years	no plans to look for work	once w/o authorization	broken English
7240	two-year college	male	Germany	seek better job	construction worker	1-2 years	no plans to look for work	once as tourist	broken English
7241	college degree	female	Iraq	seek better job	computer programmer	3-5 years	no plans to look for work	once w/o authorization	broken English
7242	high school	female	Germany	reunite with family	construction worker	none	no plans to look for work	six months with family	tried English but unable
7243	no formal	female	Iraq	seek better job	janitor	1-2 years	interviews with employer	once w/o authorization	fluent English
7244	high school	male	France	seek better job	gardener	1-2 years	will look for work	once w/o authorization	fluent English
7245	high school	male	Mexico	reunite with family	waiter	none	interviews with employer	many times as tourist	fluent English
7246	graduate degree	male	Iraq	reunite with family	financial analyst	none	contract with employer	once as tourist	used interpreter
7247	8th grade	male	Poland	seek better job	nurse	5+ years	no plans to look for work	many times as tourist	broken English
7248	8th grade	female	Philippines	reunite with family	construction worker	5+ years	will look for work	never	used interpreter
7249	8th grade	female	Sudan	escape persecution	child care provider	5+ years	will look for work	once as tourist	fluent English
7250	8th grade	male	Iraq	reunite with family	construction worker	3-5 years	contract with employer	never	tried English but unable
7251	high school	male	China	seek better job	gardener	none	will look for work	once w/o authorization	tried English but unable
7252	two-year college	male	France	reunite with family	janitor	1-2 years	will look for work	once w/o authorization	used interpreter
7253	4th grade	male	Germany	seek better job	waiter	5+ years	no plans to look for work	six months with family	broken English
7254	college degree	male	Germany	reunite with family	nurse	1-2 years	no plans to look for work	never	tried English but unable
7255	college degree	male	Mexico	reunite with family	research scientist	none	contract with employer	once as tourist	broken English
7256	8th grade	female	Germany	seek better job	gardener	3-5 years	interviews with employer	never	used interpreter
7257	4th grade	male	Mexico	reunite with family	construction worker	1-2 years	no plans to look for work	once w/o authorization	tried English but unable
7258	graduate degree	female	Mexico	reunite with family	gardener	5+ years	will look for work	once as tourist	tried English but unable
7259	high school	female	Iraq	escape persecution	waiter	3-5 years	no plans to look for work	six months with family	broken English
7260	8th grade	female	Somalia	reunite with family	nurse	none	interviews with employer	once w/o authorization	used interpreter
7261	two-year college	female	Philippines	seek better job	child care provider	3-5 years	interviews with employer	once as tourist	tried English but unable
7262	college degree	female	Somalia	escape persecution	research scientist	1-2 years	will look for work	many times as tourist	used interpreter
7263	graduate degree	female	Sudan	reunite with family	janitor	1-2 years	no plans to look for work	once w/o authorization	used interpreter
7264	high school	male	Philippines	reunite with family	child care provider	1-2 years	interviews with employer	many times as tourist	used interpreter
7265	two-year college	male	Sudan	seek better job	financial analyst	3-5 years	no plans to look for work	never	tried English but unable
7266	no formal	female	China	escape persecution	gardener	5+ years	interviews with employer	six months with family	fluent English
7267	high school	female	India	reunite with family	janitor	3-5 years	interviews with employer	six months with family	broken English
7268	high school	female	India	reunite with family	construction worker	1-2 years	no plans to look for work	many times as tourist	broken English
7269	no formal	female	Philippines	seek better job	waiter	5+ years	no plans to look for work	once w/o authorization	broken English
7270	college degree	female	China	escape persecution	teacher	3-5 years	no plans to look for work	never	tried English but unable
7271	college degree	female	Mexico	seek better job	janitor	none	interviews with employer	once w/o authorization	broken English
7272	4th grade	female	France	seek better job	teacher	3-5 years	will look for work	once as tourist	tried English but unable
7273	4th grade	male	France	seek better job	janitor	1-2 years	no plans to look for work	once w/o authorization	fluent English
7274	4th grade	female	Mexico	seek better job	gardener	1-2 years	will look for work	six months with family	used interpreter
7275	no formal	male	Philippines	seek better job	nurse	1-2 years	no plans to look for work	once as tourist	used interpreter
7276	two-year college	female	China	reunite with family	nurse	1-2 years	contract with employer	six months with family	used interpreter
7277	college degree	female	Mexico	seek better job	research scientist	3-5 years	no plans to look for work	six months with family	used interpreter
7278	no formal	female	Germany	seek better job	gardener	3-5 years	contract with employer	many times as tourist	tried English but unable
7279	two-year college	female	Somalia	escape persecution	computer programmer	none	contract with employer	many times as tourist	used interpreter
7280	graduate degree	female	Poland	reunite with family	child care provider	1-2 years	contract with employer	once as tourist	fluent English
7281	8th grade	female	Somalia	escape persecution	gardener	1-2 years	interviews with employer	never	broken English
7282	college degree	female	China	seek better job	gardener	5+ years	contract with employer	six months with family	tried English but unable
7283	4th grade	female	Philippines	reunite with family	janitor	3-5 years	contract with employer	never	fluent English
7284	8th grade	female	Poland	reunite with family	teacher	5+ years	interviews with employer	once as tourist	used interpreter
7285	4th grade	male	Iraq	seek better job	nurse	1-2 years	no plans to look for work	never	broken English
7286	high school	male	Sudan	seek better job	nurse	3-5 years	no plans to look for work	never	used interpreter
7287	4th grade	female	Poland	reunite with family	teacher	3-5 years	will look for work	never	broken English
7288	college degree	male	China	seek better job	nurse	1-2 years	will look for work	many times as tourist	tried English but unable
7289	no formal	male	China	escape persecution	waiter	none	interviews with employer	once as tourist	broken English
7290	no formal	male	India	seek better job	waiter	1-2 years	no plans to look for work	many times as tourist	used interpreter
7291	4th grade	female	Poland	reunite with family	nurse	5+ years	interviews with employer	six months with family	used interpreter
7292	no formal	female	India	seek better job	teacher	none	contract with employer	six months with family	used interpreter
7293	high school	female	Philippines	seek better job	waiter	5+ years	no plans to look for work	never	tried English but unable
7294	high school	male	Poland	reunite with family	child care provider	5+ years	will look for work	never	used interpreter
7295	college degree	male	India	seek better job	computer programmer	1-2 years	contract with employer	once w/o authorization	fluent English
7296	8th grade	male	Mexico	seek better job	gardener	5+ years	contract with employer	many times as tourist	used interpreter
7297	college degree	female	India	seek better job	gardener	none	interviews with employer	many times as tourist	tried English but unable
7298	college degree	female	Sudan	escape persecution	computer programmer	none	contract with employer	six months with family	used interpreter
7299	high school	female	Iraq	seek better job	teacher	1-2 years	no plans to look for work	many times as tourist	broken English
7300	two-year college	male	India	reunite with family	nurse	5+ years	will look for work	once w/o authorization	fluent English
7301	8th grade	female	Somalia	reunite with family	child care provider	5+ years	no plans to look for work	never	broken English
7302	college degree	female	France	seek better job	nurse	5+ years	will look for work	never	tried English but unable
7303	graduate degree	male	Somalia	reunite with family	doctor	1-2 years	interviews with employer	many times as tourist	used interpreter
7304	college degree	male	France	reunite with family	waiter	3-5 years	contract with employer	never	tried English but unable
7305	4th grade	female	China	reunite with family	nurse	3-5 years	no plans to look for work	six months with family	used interpreter
7306	high school	male	Sudan	reunite with family	nurse	none	contract with employer	never	tried English but unable
7307	graduate degree	male	Germany	seek better job	child care provider	none	contract with employer	never	used interpreter
7308	two-year college	female	Philippines	seek better job	waiter	1-2 years	contract with employer	six months with family	tried English but unable
7309	two-year college	male	Poland	reunite with family	doctor	none	no plans to look for work	once as tourist	tried English but unable
7310	high school	female	Sudan	reunite with family	child care provider	1-2 years	no plans to look for work	six months with family	used interpreter
7311	two-year college	female	Poland	seek better job	construction worker	3-5 years	interviews with employer	once w/o authorization	tried English but unable
7312	no formal	female	Poland	reunite with family	gardener	3-5 years	will look for work	many times as tourist	used interpreter
7313	college degree	female	Sudan	seek better job	teacher	5+ years	will look for work	many times as tourist	tried English but unable
7314	high school	male	Poland	reunite with family	gardener	none	no plans to look for work	many times as tourist	tried English but unable
7315	college degree	male	Sudan	seek better job	construction worker	none	will look for work	six months with family	broken English
7316	4th grade	female	Somalia	seek better job	waiter	3-5 years	contract with employer	six months with family	fluent English
7317	4th grade	male	Philippines	seek better job	gardener	5+ years	will look for work	once w/o authorization	tried English but unable
7318	college degree	male	China	escape persecution	waiter	1-2 years	no plans to look for work	never	tried English but unable
7319	college degree	female	France	seek better job	computer programmer	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
7320	high school	male	Mexico	seek better job	teacher	3-5 years	no plans to look for work	never	fluent English
7321	8th grade	female	France	reunite with family	gardener	3-5 years	will look for work	six months with family	used interpreter
7322	no formal	male	China	seek better job	child care provider	none	will look for work	many times as tourist	used interpreter
7323	4th grade	male	Iraq	reunite with family	nurse	5+ years	interviews with employer	six months with family	fluent English
7324	two-year college	male	India	seek better job	financial analyst	1-2 years	interviews with employer	never	tried English but unable
7325	4th grade	female	Germany	reunite with family	gardener	1-2 years	no plans to look for work	never	fluent English
7326	two-year college	male	Germany	reunite with family	construction worker	3-5 years	interviews with employer	many times as tourist	broken English
7327	two-year college	male	France	seek better job	janitor	1-2 years	contract with employer	six months with family	tried English but unable
7328	no formal	male	Germany	reunite with family	construction worker	3-5 years	contract with employer	once w/o authorization	fluent English
7329	4th grade	male	Iraq	seek better job	janitor	5+ years	will look for work	six months with family	fluent English
7330	college degree	male	Poland	seek better job	financial analyst	none	will look for work	once as tourist	fluent English
7331	high school	male	China	escape persecution	teacher	3-5 years	no plans to look for work	never	tried English but unable
7332	4th grade	male	Sudan	seek better job	construction worker	none	no plans to look for work	six months with family	fluent English
7333	no formal	male	France	reunite with family	child care provider	5+ years	will look for work	once w/o authorization	broken English
7334	college degree	female	Sudan	reunite with family	nurse	1-2 years	contract with employer	once as tourist	used interpreter
7335	graduate degree	female	Poland	seek better job	waiter	5+ years	no plans to look for work	never	broken English
7336	two-year college	female	France	reunite with family	construction worker	5+ years	contract with employer	never	broken English
7337	4th grade	female	China	seek better job	waiter	5+ years	contract with employer	once as tourist	fluent English
7338	no formal	female	Philippines	reunite with family	waiter	5+ years	will look for work	never	fluent English
7339	high school	female	China	reunite with family	construction worker	none	contract with employer	many times as tourist	fluent English
7340	no formal	female	Sudan	reunite with family	teacher	1-2 years	interviews with employer	once as tourist	tried English but unable
7341	graduate degree	female	India	seek better job	financial analyst	3-5 years	will look for work	six months with family	broken English
7342	4th grade	male	Philippines	reunite with family	construction worker	none	interviews with employer	once w/o authorization	broken English
7343	4th grade	female	Somalia	reunite with family	child care provider	5+ years	contract with employer	once w/o authorization	tried English but unable
7344	high school	male	Poland	reunite with family	construction worker	5+ years	contract with employer	many times as tourist	broken English
7345	high school	male	India	seek better job	nurse	5+ years	no plans to look for work	never	broken English
7346	8th grade	female	Poland	reunite with family	child care provider	3-5 years	no plans to look for work	six months with family	fluent English
7347	high school	male	France	seek better job	child care provider	5+ years	will look for work	six months with family	fluent English
7348	graduate degree	male	Mexico	reunite with family	research scientist	none	will look for work	six months with family	used interpreter
7349	8th grade	female	Somalia	reunite with family	gardener	3-5 years	no plans to look for work	never	tried English but unable
7350	graduate degree	male	India	reunite with family	nurse	3-5 years	interviews with employer	never	fluent English
7351	8th grade	male	Germany	reunite with family	gardener	5+ years	no plans to look for work	once as tourist	tried English but unable
7352	high school	male	Philippines	reunite with family	janitor	3-5 years	will look for work	six months with family	broken English
7353	no formal	female	France	seek better job	nurse	3-5 years	no plans to look for work	many times as tourist	fluent English
7354	4th grade	female	China	escape persecution	teacher	5+ years	contract with employer	once as tourist	tried English but unable
7355	graduate degree	male	India	reunite with family	research scientist	3-5 years	interviews with employer	six months with family	broken English
7356	two-year college	female	India	reunite with family	teacher	1-2 years	no plans to look for work	never	tried English but unable
7357	two-year college	female	France	reunite with family	construction worker	3-5 years	will look for work	many times as tourist	used interpreter
7358	college degree	female	Poland	reunite with family	doctor	1-2 years	contract with employer	once w/o authorization	broken English
7359	graduate degree	female	Germany	reunite with family	doctor	1-2 years	interviews with employer	six months with family	fluent English
7360	college degree	female	Somalia	escape persecution	waiter	none	interviews with employer	six months with family	used interpreter
7361	two-year college	male	Germany	reunite with family	waiter	5+ years	no plans to look for work	once as tourist	tried English but unable
7362	no formal	female	Germany	reunite with family	janitor	5+ years	interviews with employer	once as tourist	broken English
7363	4th grade	male	Sudan	escape persecution	nurse	1-2 years	contract with employer	once w/o authorization	fluent English
7364	high school	female	France	seek better job	teacher	none	interviews with employer	once as tourist	used interpreter
7365	high school	female	France	reunite with family	waiter	1-2 years	interviews with employer	many times as tourist	used interpreter
7366	4th grade	female	France	seek better job	child care provider	none	interviews with employer	never	broken English
7367	no formal	male	Sudan	seek better job	teacher	3-5 years	no plans to look for work	six months with family	broken English
7368	high school	female	Somalia	reunite with family	teacher	3-5 years	interviews with employer	once w/o authorization	broken English
7369	two-year college	female	Mexico	reunite with family	child care provider	3-5 years	interviews with employer	never	tried English but unable
7370	two-year college	female	Sudan	seek better job	computer programmer	3-5 years	contract with employer	six months with family	tried English but unable
7371	college degree	female	Sudan	escape persecution	teacher	5+ years	interviews with employer	once w/o authorization	used interpreter
7372	two-year college	female	Philippines	seek better job	construction worker	none	will look for work	once w/o authorization	tried English but unable
7373	college degree	female	India	reunite with family	construction worker	5+ years	no plans to look for work	once as tourist	used interpreter
7374	college degree	male	India	seek better job	financial analyst	3-5 years	no plans to look for work	once as tourist	broken English
7375	graduate degree	female	China	escape persecution	doctor	none	will look for work	six months with family	tried English but unable
7376	no formal	female	Philippines	seek better job	waiter	1-2 years	contract with employer	many times as tourist	tried English but unable
7377	high school	male	Iraq	reunite with family	nurse	5+ years	contract with employer	never	fluent English
7378	8th grade	male	Poland	seek better job	nurse	3-5 years	contract with employer	many times as tourist	fluent English
7379	8th grade	female	Mexico	seek better job	teacher	none	contract with employer	once w/o authorization	broken English
7380	no formal	female	China	reunite with family	teacher	5+ years	will look for work	never	tried English but unable
7381	high school	female	Mexico	seek better job	nurse	none	contract with employer	once w/o authorization	used interpreter
7382	college degree	female	Iraq	seek better job	doctor	1-2 years	no plans to look for work	once w/o authorization	fluent English
7383	college degree	male	Philippines	reunite with family	doctor	none	interviews with employer	many times as tourist	broken English
7384	college degree	male	Poland	seek better job	child care provider	1-2 years	no plans to look for work	once as tourist	broken English
7385	8th grade	female	Sudan	escape persecution	janitor	none	will look for work	many times as tourist	used interpreter
7386	4th grade	female	India	reunite with family	gardener	none	contract with employer	once w/o authorization	used interpreter
7387	no formal	female	Iraq	escape persecution	gardener	1-2 years	contract with employer	never	broken English
7388	8th grade	male	Philippines	seek better job	gardener	5+ years	will look for work	once as tourist	tried English but unable
7389	8th grade	male	India	reunite with family	gardener	none	no plans to look for work	never	tried English but unable
7390	graduate degree	male	Sudan	seek better job	financial analyst	1-2 years	contract with employer	once as tourist	fluent English
7391	two-year college	male	Iraq	reunite with family	doctor	3-5 years	will look for work	never	tried English but unable
7392	two-year college	male	France	reunite with family	research scientist	1-2 years	contract with employer	once w/o authorization	tried English but unable
7393	no formal	male	Sudan	escape persecution	teacher	1-2 years	contract with employer	once as tourist	fluent English
7394	high school	female	India	reunite with family	waiter	3-5 years	no plans to look for work	six months with family	used interpreter
7395	no formal	male	India	reunite with family	waiter	1-2 years	interviews with employer	many times as tourist	used interpreter
7396	two-year college	female	Poland	seek better job	gardener	3-5 years	will look for work	once w/o authorization	fluent English
7397	no formal	female	Germany	seek better job	teacher	none	contract with employer	once w/o authorization	fluent English
7398	4th grade	female	Mexico	reunite with family	child care provider	5+ years	contract with employer	many times as tourist	tried English but unable
7399	college degree	female	Mexico	reunite with family	doctor	none	will look for work	six months with family	fluent English
7400	two-year college	male	France	seek better job	janitor	1-2 years	no plans to look for work	six months with family	broken English
7401	high school	female	Iraq	reunite with family	waiter	5+ years	no plans to look for work	once as tourist	fluent English
7402	two-year college	male	Poland	reunite with family	computer programmer	5+ years	contract with employer	once w/o authorization	fluent English
7403	4th grade	female	China	escape persecution	nurse	5+ years	no plans to look for work	once w/o authorization	broken English
7404	no formal	female	India	seek better job	construction worker	none	no plans to look for work	never	tried English but unable
7405	graduate degree	female	China	seek better job	research scientist	1-2 years	contract with employer	six months with family	used interpreter
7406	4th grade	female	China	escape persecution	teacher	3-5 years	will look for work	once as tourist	tried English but unable
7407	high school	male	Germany	seek better job	teacher	1-2 years	will look for work	never	used interpreter
7408	8th grade	female	Iraq	escape persecution	construction worker	3-5 years	contract with employer	once as tourist	used interpreter
7409	two-year college	male	China	seek better job	construction worker	5+ years	interviews with employer	once w/o authorization	tried English but unable
7410	4th grade	male	Iraq	escape persecution	construction worker	3-5 years	no plans to look for work	never	tried English but unable
7411	high school	male	Mexico	reunite with family	child care provider	3-5 years	will look for work	once as tourist	used interpreter
7412	4th grade	male	Sudan	seek better job	gardener	none	contract with employer	once as tourist	tried English but unable
7413	high school	female	Iraq	seek better job	gardener	1-2 years	no plans to look for work	once w/o authorization	tried English but unable
7414	two-year college	male	Philippines	reunite with family	child care provider	1-2 years	no plans to look for work	many times as tourist	used interpreter
7415	4th grade	male	Germany	reunite with family	gardener	1-2 years	no plans to look for work	never	broken English
7416	two-year college	female	Mexico	reunite with family	construction worker	5+ years	no plans to look for work	many times as tourist	used interpreter
7417	4th grade	male	China	reunite with family	waiter	none	interviews with employer	many times as tourist	fluent English
7418	4th grade	male	Somalia	seek better job	nurse	5+ years	no plans to look for work	never	fluent English
7419	college degree	male	Sudan	reunite with family	teacher	none	contract with employer	never	broken English
7420	4th grade	male	Somalia	escape persecution	teacher	1-2 years	contract with employer	many times as tourist	broken English
7421	no formal	male	Somalia	escape persecution	child care provider	1-2 years	interviews with employer	six months with family	broken English
7422	no formal	male	Sudan	escape persecution	nurse	none	interviews with employer	once w/o authorization	tried English but unable
7423	8th grade	female	Mexico	seek better job	nurse	5+ years	interviews with employer	once w/o authorization	used interpreter
7424	no formal	male	Philippines	reunite with family	nurse	3-5 years	will look for work	many times as tourist	used interpreter
7425	two-year college	female	Poland	reunite with family	gardener	3-5 years	will look for work	six months with family	fluent English
7426	college degree	male	India	reunite with family	financial analyst	none	contract with employer	never	tried English but unable
7427	no formal	male	Philippines	seek better job	teacher	3-5 years	contract with employer	once as tourist	fluent English
7428	high school	male	Iraq	escape persecution	waiter	1-2 years	will look for work	once w/o authorization	broken English
7429	no formal	male	Iraq	escape persecution	teacher	none	contract with employer	never	tried English but unable
7430	no formal	male	Somalia	escape persecution	janitor	5+ years	no plans to look for work	once w/o authorization	tried English but unable
7431	two-year college	female	Poland	reunite with family	doctor	3-5 years	interviews with employer	once as tourist	broken English
